,x,,,,214290_s_at,ACAA1,2.340004946,,,,
1553488_at,-12.2457066,,,,200990_at,ACTA2,2.01830606,,,,
214273_x_at,-12.17493779,,,,217319_x_at,ADRB3,-10.53399805,,,,
209380_s_at,-12.15874179,,,,200866_s_at,AHCYL1,2.104580093,,,,
234190_at,-12.14475005,,,,202836_s_at,AHR,-11.57620261,,,,
217061_s_at,-12.08564526,,,,220215_at,AIDA,-7.647070782,,,,
200934_at,-11.99661722,,,,219993_at,AIPL1,2.135392634,,,,
202836_s_at,-11.57620261,,,,220956_s_at,ANKRD36B,-8.394216965,,,,
242625_at,-11.33548034,,,,215780_s_at,AP2A2,2.064427715,,,,
203541_s_at,-11.24759698,,,,205694_at,AP3B2,-7.548418576,,,,
231402_at,-10.9063938,,,,203541_s_at,APC,-11.24759698,,,,
239205_s_at,-10.75843297,,,,216705_s_at,ARHGAP1,-8.193447777,,,,
235442_at,-10.75783478,,,,222479_s_at,BACE1,-8.218309796,,,,
209695_at,-10.67450558,,,,209380_s_at,BAD,-12.15874179,,,,
217319_x_at,-10.53399805,,,,211330_s_at,BAZ1B,-9.22944552,,,,
1556116_s_at,-10.38135104,,,,223150_s_at,BBX,-8.401826411,,,,
242210_at,-10.19348616,,,,AFFX-HSAC07/X00351_M_at,BCAN,2.557663636,,,,
202772_at,-10.1320177,,,,1567458_s_at,BDNF-AS,2.177468503,,,,
236785_at,-10.01894818,,,,208308_s_at,BMP10,2.025853611,,,,
203859_s_at,-9.63542008,,,,201251_at,BTG2,2.256922036,,,,
1554661_s_at,-9.443540999,,,,205315_s_at,BTN2A2,-7.764880089,,,,
206191_at,-9.430544835,,,,1567080_s_at,C20orf181,-7.353351208,,,,
241776_at,-9.35509449,,,,1556116_s_at,C4orf27,-10.38135104,,,,
211330_s_at,-9.22944552,,,,1553130_at,C5orf24,-7.514310846,,,,
238129_s_at,-9.147824113,,,,239205_s_at,CASKIN1,-10.75843297,,,,
210815_s_at,-9.143681971,,,,1554241_at,CCDC132,2.058214856,,,,
203760_s_at,-9.142869577,,,,1557910_at,CEP112,2.409415175,,,,
224510_s_at,-9.138010589,,,,1553488_at,CES5A,-12.2457066,,,,
227106_at,-8.970122131,,,,219875_s_at,CLEC4E,-8.33240598,,,,
225716_at,-8.943936875,,,,217398_x_at,CLIC1P1 /// CLIC1P1,2.269570803,,,,
236254_at,-8.943102766,,,,1558220_at,CLLU1 /// LOC100507616,2.035929983,,,,
222576_s_at,-8.927602231,,,,218626_at,CPPED1,-8.030628843,,,,
208920_at,-8.891874443,,,,219783_at,CRYZL1,-7.295382077,,,,
218358_at,-8.796461111,,,,238570_at,CYB5B,-8.05271217,,,,
1559876_at,-8.790488876,,,,207545_s_at,DEFA5,-7.509221163,,,,
244875_at,-8.619462532,,,,1557476_at,DGCR10,-7.569793396,,,,
236828_at,-8.536850003,,,,207847_s_at,DHPS,2.355639338,,,,
221061_at,-8.517546966,,,,219922_s_at,EBLN2,2.250413038,,,,
230651_at,-8.517324616,,,,AFFX-DapX-M_at,EHBP1L1,2.37100502,,,,
213496_at,-8.48778782,,,,200613_at,EIF3A,2.003573775,,,,
205829_at,-8.418645634,,,,226998_at,ELL2,-7.49660322,,,,
223150_s_at,-8.401826411,,,,225094_at,EMP2,-7.305766013,,,,
220956_s_at,-8.394216965,,,,216570_x_at,ENO1,2.346009718,,,,
223780_s_at,-8.381888261,,,,202625_at,EPS8,-7.810292364,,,,
205312_at,-8.350549867,,,,AFFX-HSAC07/X00351_5_at,EPS8L1,2.612246614,,,,
1557411_s_at,-8.343263553,,,,218358_at,ERMP1,-8.796461111,,,,
219875_s_at,-8.33240598,,,,1557411_s_at,FAM161A,-8.343263553,,,,
222851_at,-8.285673397,,,,211450_s_at,FAM214B,2.076551811,,,,
212550_at,-8.272954578,,,,231402_at,FAM228A,-10.9063938,,,,
205370_x_at,-8.238168149,,,,234749_s_at,FANCM,-7.564635769,,,,
222479_s_at,-8.218309796,,,,226825_s_at,FAR2P2 /// FAR2P3,2.089118919,,,,
214662_at,-8.200372221,,,,214527_s_at,FCGR1B,2.158585743,,,,
216705_s_at,-8.193447777,,,,201291_s_at,FDPS,2.012729382,,,,
230935_at,-8.176544084,,,,204437_s_at,FGF2,2.369966809,,,,
238856_s_at,-8.095463459,,,,205370_x_at,GAMT,-8.238168149,,,,
214481_at,-8.074903126,,,,235442_at,GATM,-10.75783478,,,,
238570_at,-8.05271217,,,,225716_at,GLCCI1,-8.943936875,,,,
218626_at,-8.030628843,,,,204238_s_at,GLIPR1,2.063617421,,,,
231985_at,-8.020065317,,,,205547_s_at,GLS2,2.514110394,,,,
220730_at,-8.011654962,,,,218889_at,GON4L,-7.653242125,,,,
218243_at,-7.919423618,,,,202772_at,GPC1,-10.1320177,,,,
242065_x_at,-7.889022685,,,,217611_at,GSPT1,-7.584018952,,,,
202625_at,-7.810292364,,,,204331_s_at,GTSE1,2.06505728,,,,
208153_s_at,-7.76626371,,,,200869_at,H2AFZ,2.605008699,,,,
205315_s_at,-7.764880089,,,,214662_at,HIST1H2AK,-8.200372221,,,,
212037_at,-7.761940202,,,,209156_s_at,HLA-B,2.178795865,,,,
201662_s_at,-7.754680235,,,,226894_at,HLA-DOA,-7.460675608,,,,
1557658_at,-7.668746886,,,,203760_s_at,HMGB3,-9.142869577,,,,
218889_at,-7.653242125,,,,200088_x_at,HNRNPM,-7.3648007,,,,
