,Patient 1,Patient 2,Patient 3,Patient 4,Patient 5,Patient 6,Patient 7,Patient 8,Patient 9,Patient 10,Patient 11,Patient 12,Patient 13,Patient 14,Patient 15,Patient 16,Patient 17,Patient 18,Control 1,Control 2,Control 3,Control 4,Control 5,Control 6,Control 7,Control 8,Control 9,Control 10,Control 11,Control 12,Control 13,Control 14,Control 15,Control 16,Control 17,Control 18,Control 19
KRT12,7.554998996,7.397135143,7.605428391,7.509799682,7.179471048,7.631963088,7.59839549,7.51222193,8.181950666,7.650502705,7.343323206,7.633488025,8.053679066,7.629565204,8.021576261,7.518208808,7.420842839,7.82446716,7.92222398,7.456780536,7.401489397,7.447820728,7.355269736,8.024732752,7.518531171,7.32316598,7.453994266,7.40335423,7.557227751,7.374686126,7.572031275,7.698363741,7.528996323,7.1445893,7.461106428,7.219232654,7.52353479
CYP21A2,6.223891733,5.849990633,5.836303288,6.355271919,6.468866257,6.483385777,6.349622013,6.318403614,6.426562912,5.799035912,6.232363072,6.025100916,6.510424807,6.018460141,6.295829282,5.862116865,5.77899065,6.236191219,6.576360597,5.966690714,5.832045109,6.033708508,6.112693449,5.879572446,5.975775599,5.996435188,6.556564102,6.333141809,6.364196884,6.17785894,6.387027997,6.092462121,6.157546545,6.542090579,6.02143426,6.187867666,5.86597567
CHRNA3,5.933155547,5.068248694,6.437051456,6.500898982,5.4622627,6.308006005,6.22685891,6.194201442,6.074128818,6.540410325,5.748547034,7.037276019,5.847532761,6.585322701,5.97870032,6.601023928,6.43908551,6.259817991,5.569839991,6.895918698,6.86935363,6.816459675,6.635841287,6.196361315,6.636692488,6.405129659,6.001081529,6.17121069,6.440275396,6.03856825,6.147644233,6.681463833,6.530601388,7.261877113,6.127062186,6.493269431,5.895674106
KRTAP5-5,3.127250634,3.754844732,3.017421436,3.638115723,3.771961282,2.909602398,3.006882925,2.76619108,4.044272634,2.95968469,3.730556758,2.582207637,3.776234936,2.552034583,2.954221796,3.182788824,3.607883909,2.773539904,2.537509992,2.104635443,2.617658925,2.744074993,5.153824839,2.991530149,2.106238164,3.351855285,4.2274846,4.01250392,3.061822786,2.907938839,3.373541018,2.158067066,3.632190828,3.359221952,3.069689441,2.173619792,2.66828542
SNCB,4.466227458,4.383380178,4.884580848,4.320399271,4.513919784,4.482042642,4.989351114,4.56609848,4.378448654,4.563513741,4.386812246,4.499728549,4.141977418,4.6331368,4.389873306,4.637903137,4.367528139,4.707521271,4.307463076,4.800444745,4.808191999,4.609960954,4.643102196,4.365681103,4.699892556,4.921937139,4.302459072,4.405832375,4.24495559,4.526791687,4.3560267,4.811419268,4.636398891,5.710019023,4.347505122,4.502799419,4.212287294
OR2M3,6.845927676,6.673972282,6.640182284,6.525887945,7.067607582,6.599683153,6.695062528,6.65555177,6.564959087,6.426016801,6.653729793,6.633907895,6.926933044,6.495497889,6.700364072,6.409585946,6.839455716,6.545049414,6.912750417,6.579700341,6.384829308,6.376443596,6.578283455,6.790810398,6.289643733,6.480367307,6.498648662,6.649702391,6.654738833,6.572897596,6.606062847,6.704416051,6.520533553,6.265927707,6.536434727,6.710820573,6.804555016
OR52B4,6.189567853,6.48981754,6.570835989,6.357512872,6.248878931,6.572654588,6.458654751,6.261319919,6.391828033,6.821349737,6.379083829,6.939939704,6.46004542,6.313379831,6.046746608,6.734416278,6.74234258,6.781807156,6.492667321,7.165695797,6.971171741,7.289882659,6.775364212,6.596613638,6.776615361,6.763612545,6.347641637,6.609947945,6.655482882,6.205263144,6.555932147,7.187075524,6.681616803,7.290827892,6.341038639,6.860091714,6.240249655
C8orf48,3.673962328,3.888287861,3.360287624,3.999051129,4.137603453,3.623297746,3.649250762,3.588766478,4.0149167,3.518782385,3.684851425,3.525591753,3.976385306,3.337702992,3.583013802,3.425665139,3.525339048,3.743850955,3.345868315,3.223490082,3.381332806,3.209521753,3.677395829,3.493934356,3.250901253,3.522972722,3.757314362,3.85384619,3.645750021,3.717264674,3.888937861,3.337331038,3.308070276,3.317941913,3.781242432,3.238635503,3.473361342
ZNF121,6.044656998,5.939968968,5.560561088,5.747599074,6.232309036,5.544662544,5.925646421,5.690522911,6.220467806,5.802899329,5.878947045,5.857989531,6.347492738,5.610232788,6.077335438,5.687299551,5.357115314,5.825023077,5.491445798,5.237350906,5.415114705,5.336498478,5.680052734,5.719371853,5.405743127,5.891028623,6.022639241,5.959132982,6.039326408,5.971346183,5.938694937,5.476131747,5.423741704,5.389500904,5.842898328,5.456507653,5.874566109
RNF24,3.988715898,4.416292091,3.746592056,4.568588125,4.387884112,4.177764768,3.946378525,4.075258967,4.585275721,3.818373543,4.070819576,3.877844824,4.595700655,3.729095994,4.176676733,3.59506708,3.980559318,4.424510431,3.611344744,3.36907723,4.019345856,3.201338233,4.264320644,3.499319034,3.639102379,3.768127024,4.759354619,4.281160304,4.18831188,4.66655303,4.853473141,3.375981049,3.589293401,3.64621342,3.394623919,3.228581862,4.14257093
SIRPB1,5.806010314,5.634367758,5.380694556,5.36469396,5.959650809,5.923464283,5.455168182,5.643603131,5.711479145,5.296022504,5.69885867,5.353966657,6.025277048,5.734497424,5.777868175,5.319014717,5.323015214,5.406174562,5.324618952,5.199287571,5.427137027,5.153786932,5.591479451,5.088110684,4.764397717,5.498285271,6.125128632,5.824734403,5.617173684,5.666037494,5.897464894,5.119980523,5.248444512,4.913659018,5.477071072,4.92109854,5.218259309
ICT1,5.863251584,5.992871442,6.172273968,5.661025035,5.966622395,5.822599237,6.199534514,5.649049409,5.865443819,5.976455316,6.00021763,5.784291593,5.063412649,6.004093056,5.876847741,5.963407316,5.906137471,5.557932008,5.371074386,6.582551863,6.290646644,6.531627465,6.147455177,5.912609726,6.335831817,6.272138253,5.292532596,5.858587525,5.718303176,5.948968692,5.756147788,6.247083126,5.902303445,6.508203467,5.850419335,6.088949964,6.041662009
EVPL,5.76713044,5.738090832,5.006580636,5.901372552,5.893828368,5.030893077,5.813542056,5.638922849,6.286909513,5.152846956,5.598537601,5.308487885,5.8210045,5.058956493,5.348310271,4.83840954,5.280793914,5.640743127,5.144627322,4.74106119,4.728604889,4.941678638,5.936725559,5.051356398,4.217985877,5.196434568,5.861806801,5.564548479,5.511527999,5.60445488,5.56831884,5.123720897,5.104007645,4.852993616,5.7519809,4.57994213,5.04316455
CD23,5.068709489,5.631237853,6.381228179,4.067323471,5.235514772,5.4898204,5.2658557,4.770987475,5.648554045,5.396032629,7.150065774,6.854632073,3.289488037,6.157227646,4.693991933,5.988975357,5.582321067,6.600098102,5.722301611,7.002825466,6.442004695,6.85049248,6.305511488,5.51653666,6.085925368,6.658904738,5.389276918,5.879820087,5.437365094,6.133478387,5.840582148,7.071582975,6.486663754,7.710306232,5.214610954,5.898388423,5.122289756
G protein,3.944791467,4.495702916,3.599726422,3.978805447,4.236950849,3.625305509,3.935423894,3.781662014,4.379516177,3.468545831,3.868977248,3.949256176,4.084810465,3.523311346,3.902403835,3.545018072,4.295620839,4.260171088,3.73839121,3.584583362,3.235991438,2.939201396,4.348227893,4.097558071,3.472648767,4.087067171,4.396258837,3.832671587,3.745133515,3.784109802,3.355882347,2.60906796,3.63042925,2.534187555,4.377321256,3.400186217,3.39969933
ISG20,5.964601734,6.022785163,6.788334499,5.33411907,5.852684412,6.211242379,6.18520427,5.820216547,5.343740166,6.131073664,6.103850988,5.848429596,5.567785454,6.031981258,6.134217253,5.986810871,6.448922163,5.531806084,6.195418425,6.412633355,6.250322059,6.20988139,5.988768859,6.198088277,6.398619486,6.445487575,5.813186259,5.775147229,5.97214659,6.023570592,5.685754739,6.138043941,5.964676164,6.481512643,5.892627653,6.582439621,6.189460274
chemokine ,5.84837656,5.727654192,5.13895937,5.989552958,6.217793398,5.606867112,5.502475125,5.558067843,5.949450046,5.2913942,5.589688727,5.518912118,5.993463154,5.151474842,5.571063444,5.39934256,5.250531387,5.772318622,6.083809303,5.734222246,6.025733424,5.853359973,6.308268867,6.003035661,5.779703438,6.236370162,6.798526138,6.776302056,6.681775597,6.128393814,6.618453716,6.319997084,6.21957078,5.714205148,6.471597526,5.824216013,6.049386175
MBD4,9.418137252,9.478607943,10.02753198,8.852333394,8.587844244,9.905935561,9.578331385,9.634819898,9.72959446,9.439788759,10.12264114,9.499043582,8.335425175,10.12618592,9.114273352,10.59314222,10.04392375,10.13760831,3.023410789,3.130696644,3.156399239,3.121277181,3.589237866,3.428539798,3.175659353,3.581637347,4.010220355,3.583504367,3.896852919,3.574292813,3.692754213,3.120916919,3.317641345,3.142480055,3.911724071,3.378981995,3.390200763
